X,CH1,
Second,Volt,
-1.52480e-01,3.20e-03,
-1.52460e-01,2.40e-03,
-1.52440e-01,3.20e-03,
-1.52420e-01,8.00e-04,
-1.52400e-01,2.40e-03,
-1.52380e-01,1.60e-03,
-1.52360e-01,2.40e-03,
-1.52340e-01,8.00e-04,
-1.52320e-01,2.40e-03,
-1.52300e-01,8.00e-04,
-1.52280e-01,1.60e-03,
-1.52260e-01,2.40e-03,
-1.52240e-01,8.00e-04,
-1.52220e-01,8.00e-04,
-1.52200e-01,-8.00e-04,
-1.52180e-01,-8.00e-04,
-1.52160e-01,8.00e-04,
-1.52140e-01,7.20e-03,
-1.52120e-01,-1.60e-03,
-1.52100e-01,-3.20e-03,
-1.52080e-01,-8.00e-04,
-1.52060e-01,-8.00e-04,
-1.52040e-01,8.00e-04,
-1.52020e-01,8.00e-04,
-1.52000e-01,-8.00e-04,
-1.51980e-01,-1.60e-03,
-1.51960e-01,-8.00e-04,
-1.51940e-01,-2.40e-03,
-1.51920e-01,8.00e-04,
-1.51900e-01,-1.60e-03,
-1.51880e-01,8.00e-04,
-1.51860e-01,8.00e-04,
-1.51840e-01,8.00e-04,
-1.51820e-01,8.00e-04,
-1.51800e-01,8.00e-04,
-1.51780e-01,1.60e-03,
-1.51760e-01,3.20e-03,
-1.51740e-01,8.00e-04,
-1.51720e-01,1.60e-03,
-1.51700e-01,1.60e-03,
-1.51680e-01,3.20e-03,
-1.51660e-01,2.40e-03,
-1.51640e-01,2.40e-03,
-1.51620e-01,4.00e-03,
-1.51600e-01,3.20e-03,
-1.51580e-01,4.80e-03,
-1.51560e-01,4.80e-03,
-1.51540e-01,4.00e-03,
-1.51520e-01,4.00e-03,
-1.51500e-01,4.00e-03,
-1.51480e-01,4.00e-03,
-1.51460e-01,4.00e-03,
-1.51440e-01,4.80e-03,
-1.51420e-01,4.00e-03,
-1.51400e-01,5.60e-03,
-1.51380e-01,3.20e-03,
-1.51360e-01,4.00e-03,
-1.51340e-01,8.00e-04,
-1.51320e-01,4.00e-03,
-1.51300e-01,2.40e-03,
-1.51280e-01,4.00e-03,
-1.51260e-01,3.20e-03,
-1.51240e-01,3.20e-03,
-1.51220e-01,3.20e-03,
-1.51200e-01,2.40e-03,
-1.51180e-01,2.40e-03,
-1.51160e-01,4.00e-03,
-1.51140e-01,2.40e-03,
-1.51120e-01,4.00e-03,
-1.51100e-01,2.40e-03,
-1.51080e-01,3.20e-03,
-1.51060e-01,2.40e-03,
-1.51040e-01,3.20e-03,
-1.51020e-01,4.00e-03,
-1.51000e-01,2.40e-03,
-1.50980e-01,3.20e-03,
-1.50960e-01,2.40e-03,
-1.50940e-01,4.00e-03,
-1.50920e-01,3.20e-03,
-1.50900e-01,3.20e-03,
-1.50880e-01,3.20e-03,
-1.50860e-01,8.80e-03,
-1.50840e-01,2.40e-03,
-1.50820e-01,-1.60e-03,
-1.50800e-01,3.20e-03,
-1.50780e-01,4.80e-03,
-1.50760e-01,2.40e-03,
-1.50740e-01,4.80e-03,
-1.50720e-01,4.00e-03,
-1.50700e-01,4.80e-03,
-1.50680e-01,3.20e-03,
-1.50660e-01,-3.20e-03,
-1.50640e-01,3.20e-03,
-1.50620e-01,8.00e-04,
-1.50600e-01,3.20e-03,
-1.50580e-01,1.60e-03,
-1.50560e-01,4.80e-03,
-1.50540e-01,1.60e-03,
-1.50520e-01,1.60e-03,
-1.50500e-01,3.20e-03,
-1.50480e-01,8.00e-04,
-1.50460e-01,2.40e-03,
-1.50440e-01,2.40e-03,
-1.50420e-01,2.40e-03,
-1.50400e-01,8.00e-03,
-1.50380e-01,4.00e-03,
-1.50360e-01,4.00e-03,
-1.50340e-01,3.20e-03,
-1.50320e-01,-4.80e-03,
-1.50300e-01,4.00e-03,
-1.50280e-01,4.80e-03,
-1.50260e-01,4.00e-03,
-1.50240e-01,4.80e-03,
-1.50220e-01,5.60e-03,
-1.50200e-01,4.80e-03,
-1.50180e-01,4.80e-03,
-1.50160e-01,6.40e-03,
-1.50140e-01,4.00e-03,
-1.50120e-01,7.20e-03,
-1.50100e-01,4.00e-03,
-1.50080e-01,5.60e-03,
-1.50060e-01,5.60e-03,
-1.50040e-01,2.40e-03,
-1.50020e-01,5.60e-03,
-1.50000e-01,4.00e-03,
-1.49980e-01,1.20e-02,
-1.49960e-01,3.20e-03,
-1.49940e-01,5.60e-03,
-1.49920e-01,2.40e-03,
-1.49900e-01,-1.28e-02,
-1.49880e-01,3.20e-03,
-1.49860e-01,4.80e-03,
-1.49840e-01,2.40e-03,
-1.49820e-01,4.00e-03,
-1.49800e-01,3.20e-03,
-1.49780e-01,4.00e-03,
-1.49760e-01,2.40e-03,
-1.49740e-01,1.60e-03,
-1.49720e-01,-8.00e-04,
-1.49700e-01,8.00e-04,
-1.49680e-01,-4.00e-03,
-1.49660e-01,4.00e-03,
-1.49640e-01,1.60e-03,
-1.49620e-01,4.00e-03,
-1.49600e-01,1.60e-03,
-1.49580e-01,4.80e-03,
-1.49560e-01,4.80e-03,
-1.49540e-01,4.00e-03,
-1.49520e-01,4.00e-03,
-1.49500e-01,4.00e-03,
-1.49480e-01,4.80e-03,
-1.49460e-01,7.20e-03,
-1.49440e-01,5.60e-03,
-1.49420e-01,4.00e-03,
-1.49400e-01,6.40e-03,
-1.49380e-01,6.40e-03,
-1.49360e-01,4.00e-03,
-1.49340e-01,3.20e-03,
-1.49320e-01,4.00e-03,
-1.49300e-01,4.00e-03,
-1.49280e-01,4.00e-03,
-1.49260e-01,3.20e-03,
-1.49240e-01,3.20e-03,
-1.49220e-01,2.40e-03,
-1.49200e-01,2.40e-03,
-1.49180e-01,3.20e-03,
-1.49160e-01,3.20e-03,
-1.49140e-01,2.40e-03,
-1.49120e-01,2.40e-03,
-1.49100e-01,2.40e-03,
-1.49080e-01,3.20e-03,
-1.49060e-01,2.40e-03,
-1.49040e-01,3.20e-03,
-1.49020e-01,4.00e-03,
-1.49000e-01,3.20e-03,
-1.48980e-01,4.00e-03,
-1.48960e-01,-1.60e-03,
-1.48940e-01,3.20e-03,
-1.48920e-01,4.00e-03,
-1.48900e-01,3.20e-03,
-1.48880e-01,4.00e-03,
-1.48860e-01,4.00e-03,
-1.48840e-01,4.00e-03,
-1.48820e-01,4.80e-03,
-1.48800e-01,2.40e-03,
-1.48780e-01,8.00e-03,
-1.48760e-01,3.20e-03,
-1.48740e-01,4.00e-03,
-1.48720e-01,4.00e-03,
-1.48700e-01,4.80e-03,
-1.48680e-01,4.00e-03,
-1.48660e-01,4.00e-03,
-1.48640e-01,4.80e-03,
-1.48620e-01,2.40e-03,
-1.48600e-01,3.20e-03,
-1.48580e-01,5.60e-03,
-1.48560e-01,5.60e-03,
-1.48540e-01,4.80e-03,
-1.48520e-01,6.40e-03,
-1.48500e-01,2.40e-03,
-1.48480e-01,6.40e-03,
-1.48460e-01,4.80e-03,
-1.48440e-01,6.40e-03,
-1.48420e-01,7.20e-03,
-1.48400e-01,4.80e-03,
-1.48380e-01,6.40e-03,
-1.48360e-01,7.20e-03,
-1.48340e-01,7.20e-03,
-1.48320e-01,7.20e-03,
-1.48300e-01,7.20e-03,
-1.48280e-01,7.20e-03,
-1.48260e-01,8.80e-03,
-1.48240e-01,4.00e-03,
-1.48220e-01,9.60e-03,
-1.48200e-01,6.40e-03,
-1.48180e-01,5.60e-03,
-1.48160e-01,7.20e-03,
-1.48140e-01,6.40e-03,
-1.48120e-01,5.60e-03,
-1.48100e-01,5.60e-03,
-1.48080e-01,4.80e-03,
-1.48060e-01,5.60e-03,
-1.48040e-01,4.80e-03,
-1.48020e-01,5.60e-03,
-1.48000e-01,4.80e-03,
-1.47980e-01,5.60e-03,
-1.47960e-01,4.00e-03,
-1.47940e-01,5.60e-03,
-1.47920e-01,6.40e-03,
-1.47900e-01,5.60e-03,
-1.47880e-01,4.00e-03,
-1.47860e-01,7.20e-03,
-1.47840e-01,3.20e-03,
-1.47820e-01,4.00e-03,
-1.47800e-01,4.00e-03,
-1.47780e-01,4.00e-03,
-1.47760e-01,4.00e-03,
